Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Variant Weight Unit,Status
beaphar-pipetas-repulsivas-antiparasitarias-perro,BEAPHAR PIPETAS REPULSIVAS ANTIPARASITARIAS PERRO,,BEAPHAR,,,false,Tamaño,Pequeño (3x1ml),,,8711231106141,0,shopify,0,deny,manual,13.28,true,true,8711231106141,g,draft
beaphar-pipetas-repulsivas-antiparasitarias-perro,,,,,,,,Mediano (3x2ml),,,8711231106158,10,shopify,0,deny,manual,13.99,true,true,8711231106158,g,
beaphar-pipetas-repulsivas-antiparasitarias-perro,,,,,,,,Grande (6x2ml),,,8711231106165,10,shopify,0,deny,manual,17.12,true,true,8711231106165,g,
beaphar-cat-comfort-spray,BEAPHAR CAT COMFORT SPRAY GATOS,,BEAPHAR,,,false,Formato,Viaje 30ml,,,8711231171255,30,shopify,0,deny,manual,14.52,true,true,8711231171255,g,draft
beaphar-cat-comfort-spray,,,,,,,,60ml,,,8711231171262,60,shopify,0,deny,manual,20.20,true,true,8711231171262,g,
beaphar-multifresh-neutralizador-olores-gato,BEAPHAR MULTIFRESH NEUTRALIZADOR DE OLORES GATO 400G,,BEAPHAR,,,false,Aroma,Original,,,8711231152322,400,shopify,0,deny,manual,13.86,true,true,8711231152322,g,draft
beaphar-multifresh-neutralizador-olores-gato,,,,,,,,Orquídea,,,8711231201259,400,shopify,0,deny,manual,13.86,true,true,8711231201259,g,
beaphar-multifresh-neutralizador-olores-gato,,,,,,,,Melón y Vainilla,,,8711231201273,400,shopify,0,deny,manual,13.86,true,true,8711231201273,g,
beaphar-no-stress-gato,BEAPHAR NO STRESS GATO 30ML,,BEAPHAR,,,false,Presentación,Recambio,,,8711231148998,30,shopify,0,deny,manual,13.94,true,true,8711231148998,g,draft
beaphar-no-stress-gato,,,,,,,,Pack Difusor + Recambio,,,8711231148974,30,shopify,0,deny,manual,18.17,true,true,8711231148974,g,
beaphar-calming-no-stress-perro,BEAPHAR CALMING NO STRESS PERRO 30ML,,BEAPHAR,,,false,Presentación,Recarga,,,8711231150007,30,shopify,0,deny,manual,12.43,true,true,8711231150007,g,draft
beaphar-calming-no-stress-perro,,,,,,,,Pack Difusor + Recarga,,,8711231148981,30,shopify,0,deny,manual,18.63,true,true,8711231148981,g,
